OrderID,CustomerID,OrderDate,OrderAmount
ORD10001,6,2023-12-24,704.42
ORD10002,849,2025-01-19,282.56
ORD10003,67,2025-07-01,261.38
ORD10004,880,2024-10-25,760.86
ORD10005,437,2024-12-25,969.62
ORD10006,574,2023-10-21,356.33
ORD10007,703,2025-02-19,555.76
ORD10008,410,2025-05-14,829.0
ORD10009,754,2025-06-07,229.56
ORD10010,448,2023-10-02,590.68
ORD10011,970,2024-02-06,515.33
ORD10012,670,2024-09-30,807.44
ORD10013,311,2025-01-05,60.92
ORD10014,457,2024-02-13,597.03
ORD10015,343,2024-12-19,949.36
ORD10016,113,2024-09-28,647.39
ORD10017,827,2024-12-13,361.75
ORD10018,79,2024-01-28,483.72
ORD10019,98,2024-04-13,535.0
ORD10020,34,2025-05-31,162.72
ORD10021,677,2023-09-01,296.8
ORD10022,640,2023-10-22,254.97
ORD10023,151,2025-03-19,221.78
ORD10024,349,2023-11-19,956.59
ORD10025,424,2024-01-13,236.48
ORD10026,795,2025-03-21,709.47
ORD10027,66,2023-11-06,211.75
ORD10028,517,2024-03-18,871.51
ORD10029,383,2024-02-04,999.96
ORD10030,552,2024-03-04,916.23
ORD10031,549,2023-10-10,749.15
ORD10032,862,2023-10-02,587.63
ORD10033,638,2023-12-10,134.39
ORD10034,116,2024-02-26,868.85
ORD10035,567,2023-11-04,886.48
ORD10036,728,2024-08-16,251.57
ORD10037,920,2023-11-23,831.72
ORD10038,446,2024-01-21,423.32
ORD10039,730,2023-08-23,324.49
ORD10040,574,2024-10-27,228.04
ORD10041,151,2025-04-26,365.11
ORD10042,659,2025-02-22,398.5
ORD10043,625,2023-07-30,729.07
ORD10044,261,2024-03-11,712.75
ORD10045,216,2024-08-01,690.98
ORD10046,526,2025-01-21,729.06
ORD10047,555,2025-01-12,616.82
ORD10048,21,2024-04-14,173.03
ORD10049,708,2024-05-01,209.03
ORD10050,359,2025-05-12,273.24
ORD10051,548,2025-04-19,872.19
ORD10052,419,2023-11-25,343.51
ORD10053,689,2024-08-18,433.19
ORD10054,484,2024-10-10,959.96
ORD10055,793,2023-09-29,916.13
ORD10056,845,2024-04-06,338.91
ORD10057,519,2023-09-18,833.57
ORD10058,327,2024-09-14,617.57
ORD10059,949,2023-08-16,327.82
ORD10060,28,2024-10-23,212.91
ORD10061,704,2024-04-01,800.45
ORD10062,724,2025-01-02,812.6
ORD10063,820,2024-01-20,261.61
ORD10064,28,2024-12-11,258.98
ORD10065,566,2025-06-09,930.21
ORD10066,499,2023-12-03,890.38
ORD10067,610,2023-09-02,967.14
ORD10068,852,2024-05-27,638.8
ORD10069,64,2024-03-01,828.61
ORD10070,455,2024-02-04,772.0
ORD10071,614,2024-08-05,875.58
